# SynthV/synth3 synthetic spectrum, Teff = 5215 K, log g = 3.55, normalized; decimated by 2 to 0.013 A/px (0.6 km/s at 6000 A, still oversampling the 1 km/s TODCOR grid)
# cut from 5215K_logg355.prf over 5650-6850 A, every 2th point
# wavelength [Angstrom, air]  normalized flux
5653.1365  0.995061
5653.1478  0.995253
5653.1591  0.996104
5653.1704  0.996956
5653.1817  0.997756
5653.1930  0.998230
5653.2043  0.998705
5653.2156  0.998986
5653.2269  0.998713
5653.2382  0.998440
5653.2495  0.998114
5653.2608  0.997701
5653.2722  0.997288
5653.2835  0.997103
5653.2948  0.997144
5653.3061  0.997063
5653.3174  0.996843
5653.3287  0.996440
5653.3400  0.995809
5653.3513  0.995188
5653.3626  0.994582
5653.3739  0.994247
5653.3852  0.994335
5653.3965  0.994454
5653.4078  0.994580
5653.4191  0.994612
5653.4304  0.994634
5653.4418  0.994641
5653.4531  0.995193
5653.4644  0.995967
5653.4757  0.996783
5653.4870  0.997666
5653.4983  0.998519
5653.5096  0.999011
5653.5209  0.999503
5653.5322  0.999645
5653.5435  0.999675
5653.5548  0.999686
5653.5661  0.999672
5653.5774  0.999659
5653.5887  0.999645
5653.6001  0.999632
5653.6114  0.999590
5653.6227  0.999542
5653.6340  0.999494
5653.6453  0.999446
5653.6566  0.999386
5653.6679  0.999269
5653.6792  0.999153
5653.6905  0.999036
5653.7018  0.998920
5653.7131  0.998342
5653.7244  0.997356
5653.7357  0.996370
5653.7470  0.995385
5653.7584  0.994399
5653.7697  0.988764
5653.7810  0.975651
5653.7923  0.949663
5653.8036  0.903286
5653.8149  0.836410
5653.8262  0.758965
5653.8375  0.685891
5653.8488  0.632216
5653.8601  0.605908
5653.8714  0.609570
5653.8827  0.642963
5653.8940  0.702349
5653.9054  0.778082
5653.9167  0.854353
5653.9280  0.916566
5653.9393  0.957571
5653.9506  0.980011
5653.9619  0.990610
5653.9732  0.994751
5653.9845  0.995743
5653.9958  0.995442
5654.0071  0.994170
5654.0184  0.992363
5654.0297  0.990530
5654.0410  0.989194
5654.0524  0.988809
5654.0637  0.990092
5654.0750  0.991670
5654.0863  0.993839
5654.0976  0.995873
5654.1089  0.997299
5654.1202  0.998407
5654.1315  0.998952
5654.1428  0.999124
5654.1541  0.998980
5654.1654  0.998836
5654.1767  0.998692
5654.1881  0.997687
5654.1994  0.996589
5654.2107  0.995491
5654.2220  0.994675
5654.2333  0.994229
5654.2446  0.994293
5654.2559  0.994846
5654.2672  0.995716
5654.2785  0.996829
5654.2898  0.997742
5654.3011  0.998511
5654.3125  0.999028
5654.3238  0.999385
5654.3351  0.999576
5654.3464  0.999676
5654.3577  0.999710
5654.3690  0.999711
5654.3803  0.999712
5654.3916  0.999714
5654.4029  0.999704
5654.4142  0.999691
5654.4255  0.999678
5654.4368  0.999665
5654.4482  0.999648
5654.4595  0.999630
5654.4708  0.999612
5654.4821  0.999593
5654.4934  0.999545
5654.5047  0.999493
5654.5160  0.999440
5654.5273  0.999387
5654.5386  0.999081
5654.5499  0.998756
5654.5612  0.998430
5654.5726  0.998104
5654.5839  0.997559
5654.5952  0.997011
5654.6065  0.996464
5654.6178  0.995966
5654.6291  0.996365
5654.6404  0.996715
5654.6517  0.996998
5654.6630  0.997238
5654.6743  0.997367
5654.6856  0.996932
5654.6970  0.995837
5654.7083  0.994126
5654.7196  0.991028
5654.7309  0.987587
5654.7422  0.983774
5654.7535  0.980673
5654.7648  0.978703
5654.7761  0.979244
5654.7874  0.980814
5654.7987  0.982359
5654.8101  0.982424
5654.8214  0.980192
5654.8327  0.973094
5654.8440  0.960220
5654.8553  0.940750
5654.8666  0.914570
5654.8779  0.884746
5654.8892  0.855285
5654.9005  0.831023
5654.9118  0.816843
5654.9231  0.815198
5654.9345  0.826377
5654.9458  0.848384
5654.9571  0.877187
5654.9684  0.907669
5654.9797  0.935119
5654.9910  0.956653
5655.0023  0.971591
5655.0136  0.980599
5655.0249  0.985785
5655.0362  0.988095
5655.0476  0.988249
5655.0589  0.986300
5655.0702  0.980628
5655.0815  0.967558
5655.0928  0.940146
5655.1041  0.887900
5655.1154  0.805506
5655.1267  0.702626
5655.1380  0.600684
5655.1494  0.520168
5655.1607  0.468787
5655.1720  0.445910
5655.1833  0.449609
5655.1946  0.480453
5655.2059  0.540425
5655.2172  0.629173
5655.2285  0.735389
5655.2398  0.836524
5655.2511  0.911594
5655.2625  0.956040
5655.2738  0.977659
5655.2851  0.986548
5655.2964  0.989922
5655.3077  0.991008
5655.3190  0.991098
5655.3303  0.990632
5655.3416  0.989659
5655.3529  0.987769
5655.3643  0.983391
5655.3756  0.973454
5655.3869  0.946799
5655.3982  0.882041
5655.4095  0.756617
5655.4208  0.582898
5655.4321  0.420741
5655.4434  0.313897
5655.4547  0.255177
5655.4660  0.224067
5655.4774  0.207879
5655.4887  0.201476
5655.5000  0.203064
5655.5113  0.213070
5655.5226  0.234599
5655.5339  0.275332
5655.5452  0.352441
5655.5565  0.485968
5655.5678  0.663238
5655.5792  0.821814
5655.5905  0.918698
5655.6018  0.963203
5655.6131  0.980000
5655.6244  0.985803
5655.6357  0.988413
5655.6470  0.989677
5655.6583  0.990545
5655.6696  0.991561
5655.6810  0.992585
5655.6923  0.993429
5655.7036  0.994095
5655.7149  0.994728
5655.7262  0.994730
5655.7375  0.994732
5655.7488  0.994616
5655.7601  0.994420
5655.7715  0.994321
5655.7828  0.994839
5655.7941  0.995357
5655.8054  0.995828
5655.8167  0.996232
5655.8280  0.996637
5655.8393  0.996610
5655.8506  0.996405
5655.8619  0.996199
5655.8733  0.995829
5655.8846  0.995458
5655.8959  0.995253
5655.9072  0.995471
5655.9185  0.995688
5655.9298  0.995873
5655.9411  0.996055
5655.9524  0.996071
5655.9638  0.995963
5655.9751  0.995817
5655.9864  0.995531
5655.9977  0.995245
5656.0090  0.995090
5656.0203  0.994957
5656.0316  0.994823
5656.0429  0.994594
5656.0542  0.994259
5656.0656  0.993924
5656.0769  0.993699
5656.0882  0.993919
5656.0995  0.994364
5656.1108  0.994345
5656.1221  0.994081
5656.1334  0.993712
5656.1447  0.993235
5656.1561  0.992388
5656.1674  0.991541
5656.1787  0.991253
5656.1900  0.991152
5656.2013  0.991025
5656.2126  0.990895
5656.2239  0.990623
5656.2352  0.990361
5656.2466  0.990195
5656.2579  0.990226
5656.2692  0.990922
5656.2805  0.991632
5656.2918  0.992688
5656.3031  0.993744
5656.3144  0.994696
5656.3257  0.995630
5656.3371  0.996313
5656.3484  0.996866
5656.3597  0.997175
5656.3710  0.997210
5656.3823  0.997245
5656.3936  0.997280
5656.4049  0.997284
5656.4162  0.996986
5656.4276  0.996688
5656.4389  0.996390
5656.4502  0.996092
5656.4615  0.996259
5656.4728  0.996611
5656.4841  0.997123
5656.4954  0.997633
5656.5068  0.998088
5656.5181  0.998460
5656.5294  0.998707
5656.5407  0.998832
5656.5520  0.998884
5656.5633  0.998935
5656.5746  0.998980
5656.5859  0.998948
5656.5973  0.998915
5656.6086  0.998882
5656.6199  0.998799
5656.6312  0.998671
5656.6425  0.998543
5656.6538  0.998414
5656.6651  0.998286
5656.6764  0.998158
5656.6878  0.998029
5656.6991  0.997760
5656.7104  0.997308
5656.7217  0.996855
5656.7330  0.996403
5656.7443  0.995951
5656.7556  0.995499
5656.7670  0.995046
5656.7783  0.994564
5656.7896  0.994025
5656.8009  0.993485
5656.8122  0.992889
5656.8235  0.991565
5656.8348  0.990240
5656.8462  0.988915
5656.8575  0.987962
5656.8688  0.987498
5656.8801  0.987780
5656.8914  0.989214
5656.9027  0.991267
5656.9140  0.993494
5656.9253  0.995489
5656.9367  0.996829
5656.9480  0.997891
5656.9593  0.998530
5656.9706  0.998827
5656.9819  0.999011
5656.9932  0.999051
5657.0045  0.999091
5657.0159  0.999132
5657.0272  0.999166
5657.0385  0.999174
5657.0498  0.999183
5657.0611  0.999192
5657.0724  0.999200
5657.0837  0.999203
5657.0951  0.999205
5657.1064  0.999207
5657.1177  0.999209
5657.1290  0.999201
5657.1403  0.999189
5657.1516  0.999178
5657.1629  0.999166
5657.1743  0.999020
5657.1856  0.998754
5657.1969  0.998488
5657.2082  0.998223
5657.2195  0.997815
5657.2308  0.997081
5657.2421  0.996348
5657.2535  0.995615
5657.2648  0.994932
5657.2761  0.994862
5657.2874  0.994765
5657.2987  0.994616
5657.3100  0.994211
5657.3213  0.993387
5657.3327  0.992317
5657.3440  0.990788
5657.3553  0.987788
5657.3666  0.981589
5657.3779  0.969792
5657.3892  0.949959
5657.4005  0.922620
5657.4119  0.891632
5657.4232  0.864422
5657.4345  0.848239
5657.4458  0.848034
5657.4571  0.863998
5657.4684  0.891674
5657.4798  0.923606
5657.4911  0.952366
5657.5024  0.973691
5657.5137  0.986639
5657.5250  0.993622
5657.5363  0.996468
5657.5476  0.997638
5657.5590  0.997915
5657.5703  0.997819
5657.5816  0.997637
5657.5929  0.996562
5657.6042  0.995487
5657.6155  0.993642
5657.6269  0.991085
5657.6382  0.988203
5657.6495  0.985614
5657.6608  0.984156
5657.6721  0.984252
5657.6834  0.985822
5657.6947  0.988189
5657.7061  0.990686
5657.7174  0.992388
5657.7287  0.993918
5657.7400  0.993916
5657.7513  0.993749
5657.7626  0.992269
5657.7740  0.987053
5657.7853  0.972358
5657.7966  0.933704
5657.8079  0.850583
5657.8192  0.712443
5657.8305  0.548490
5657.8418  0.410972
5657.8532  0.321292
5657.8645  0.268735
5657.8758  0.239407
5657.8871  0.225134
5657.8984  0.221888
5657.9097  0.228952
5657.9211  0.247922
5657.9324  0.283556
5657.9437  0.344681
5657.9550  0.443373
5657.9663  0.582474
5657.9776  0.734237
5657.9890  0.855230
5658.0003  0.926308
5658.0116  0.960345
5658.0229  0.975015
5658.0342  0.980702
5658.0455  0.983370
5658.0568  0.983811
5658.0682  0.983891
5658.0795  0.983166
5658.0908  0.982803
5658.1021  0.982942
5658.1134  0.983701
5658.1247  0.985426
5658.1361  0.987623
5658.1474  0.989782
5658.1587  0.991741
5658.1700  0.993029
5658.1813  0.993662
5658.1926  0.994021
5658.2040  0.994379
5658.2153  0.993918
5658.2266  0.993404
5658.2379  0.992575
5658.2492  0.989100
5658.2605  0.980151
5658.2719  0.958166
5658.2832  0.912690
5658.2945  0.835107
5658.3058  0.729618
5658.3171  0.617918
5658.3284  0.523363
5658.3398  0.458219
5658.3511  0.422480
5658.3624  0.413066
5658.3737  0.428273
5658.3850  0.470169
5658.3963  0.541294
5658.4077  0.638785
5658.4190  0.745253
5658.4303  0.829563
5658.4416  0.860489
5658.4529  0.816034
5658.4642  0.697185
5658.4756  0.541855
5658.4869  0.405608
5658.4982  0.316542
5658.5095  0.268039
5658.5208  0.245217
5658.5321  0.239124
5658.5435  0.247288
5658.5548  0.272574
5658.5661  0.323170
5658.5774  0.404451
5658.5887  0.492692
5658.6000  0.526043
5658.6114  0.483837
5658.6227  0.413953
5658.6340  0.358261
5658.6453  0.327067
5658.6566  0.317082
5658.6679  0.326723
5658.6793  0.358215
5658.6906  0.415873
5658.7019  0.493752
5658.7132  0.543642
5658.7245  0.480555
5658.7359  0.334867
5658.7472  0.231044
5658.7585  0.180461
5658.7698  0.152301
5658.7811  0.134369
5658.7924  0.122887
5658.8038  0.116347
5658.8151  0.114026
5658.8264  0.115726
5658.8377  0.121496
5658.8490  0.132095
5658.8603  0.148854
5658.8717  0.174997
5658.8830  0.220667
5658.8943  0.319161
5658.9056  0.506833
5658.9169  0.716010
5658.9283  0.850265
5658.9396  0.911946
5658.9509  0.938576
5658.9622  0.951458
5658.9735  0.959805
5658.9848  0.965499
5658.9962  0.969627
5659.0075  0.972945
5659.0188  0.974242
5659.0301  0.974328
5659.0414  0.970945
5659.0528  0.963578
5659.0641  0.950913
5659.0754  0.934873
5659.0867  0.918161
5659.0980  0.904930
5659.1093  0.899926
5659.1207  0.904518
5659.1320  0.918035
5659.1433  0.936468
5659.1546  0.955351
5659.1659  0.970931
5659.1773  0.981953
5659.1886  0.988171
5659.1999  0.991360
5659.2112  0.992849
5659.2225  0.993554
5659.2338  0.994100
5659.2452  0.994464
5659.2565  0.994700
5659.2678  0.994909
5659.2791  0.995082
5659.2904  0.995233
5659.3018  0.995315
5659.3131  0.995397
5659.3244  0.995475
5659.3357  0.995554
5659.3470  0.995632
5659.3583  0.995710
5659.3697  0.995551
5659.3810  0.995283
5659.3923  0.995016
5659.4036  0.994748
5659.4149  0.994281
5659.4263  0.993223
5659.4376  0.991430
5659.4489  0.988702
5659.4602  0.984444
5659.4715  0.977679
5659.4829  0.966601
5659.4942  0.947957
5659.5055  0.917538
5659.5168  0.870713
5659.5281  0.809307
5659.5395  0.742555
5659.5508  0.684035
5659.5621  0.644301
5659.5734  0.629849
5659.5847  0.642548
5659.5960  0.681642
5659.6074  0.741300
5659.6187  0.811521
5659.6300  0.877533
5659.6413  0.926987
5659.6526  0.957735
5659.6640  0.973735
5659.6753  0.980307
5659.6866  0.983646
5659.6979  0.985440
5659.7092  0.986404
5659.7206  0.986441
5659.7319  0.985079
5659.7432  0.982339
5659.7545  0.978537
5659.7658  0.975589
5659.7772  0.975164
5659.7885  0.977846
5659.7998  0.982562
5659.8111  0.987900
5659.8224  0.992000
5659.8338  0.995571
5659.8451  0.996983
5659.8564  0.998031
5659.8677  0.998475
5659.8790  0.998671
5659.8904  0.998745
5659.9017  0.998776
5659.9130  0.998786
5659.9243  0.998744
5659.9356  0.998751
5659.9470  0.998795
5659.9583  0.998840
5659.9696  0.998884
5659.9809  0.998928
5659.9922  0.998972
5660.0036  0.999016
5660.0149  0.999006
5660.0262  0.998976
5660.0375  0.998947
5660.0488  0.998918
5660.0602  0.998889
5660.0715  0.998860
5660.0828  0.998830
5660.0941  0.998829
5660.1054  0.998829
5660.1168  0.998829
5660.1281  0.998829
5660.1394  0.998829
5660.1507  0.998829
5660.1620  0.998823
5660.1734  0.998772
5660.1847  0.998721
5660.1960  0.998671
5660.2073  0.998620
5660.2186  0.998569
5660.2300  0.998518
5660.2413  0.998452
5660.2526  0.998350
5660.2639  0.998248
5660.2752  0.998146
5660.2866  0.997824
5660.2979  0.997478
5660.3092  0.997131
5660.3205  0.996011
5660.3318  0.994089
5660.3432  0.992166
5660.3545  0.990139
5660.3658  0.986968
5660.3771  0.983797
5660.3884  0.980626
5660.3998  0.978081
5660.4111  0.975055
5660.4224  0.969635
5660.4337  0.959855
5660.4451  0.944224
5660.4564  0.923260
5660.4677  0.900007
5660.4790  0.878193
5660.4903  0.862144
5660.5017  0.855596
5660.5130  0.859130
5660.5243  0.872449
5660.5356  0.892549
5660.5469  0.915024
5660.5583  0.935860
5660.5696  0.952668
5660.5809  0.962244
5660.5922  0.964747
5660.6035  0.959957
5660.6149  0.948051
5660.6262  0.930083
5660.6375  0.908318
5660.6488  0.886472
5660.6602  0.868886
5660.6715  0.859280
5660.6828  0.859814
5660.6941  0.870359
5660.7054  0.887667
5660.7168  0.906995
5660.7281  0.922311
5660.7394  0.926502
5660.7507  0.915717
5660.7620  0.890938
5660.7734  0.859468
5660.7847  0.831264
5660.7960  0.815767
5660.8073  0.818189
5660.8187  0.838809
5660.8300  0.872307
5660.8413  0.909763
5660.8526  0.943202
5660.8639  0.967510
5660.8753  0.981542
5660.8866  0.988615
5660.8979  0.991685
5660.9092  0.992910
5660.9205  0.993640
5660.9319  0.993482
5660.9432  0.991920
5660.9545  0.988045
5660.9658  0.980324
5660.9772  0.968877
5660.9885  0.955219
5660.9998  0.942084
5661.0111  0.933493
5661.0224  0.931781
5661.0338  0.937669
5661.0451  0.949630
5661.0564  0.963790
5661.0677  0.977020
5661.0791  0.986916
5661.0904  0.993228
5661.1017  0.996708
5661.1130  0.998290
5661.1243  0.998723
5661.1357  0.998856
5661.1470  0.998924
5661.1583  0.998941
5661.1696  0.998848
5661.1810  0.998754
5661.1923  0.998468
5661.2036  0.997825
5661.2149  0.996547
5661.2262  0.994117
5661.2376  0.990024
5661.2489  0.982113
5661.2602  0.967106
5661.2715  0.940034
5661.2829  0.894185
5661.2942  0.828789
5661.3055  0.751757
5661.3168  0.678506
5661.3282  0.623868
5661.3395  0.596216
5661.3508  0.598391
5661.3621  0.630557
5661.3734  0.689754
5661.3848  0.766316
5661.3961  0.844337
5661.4074  0.907960
5661.4187  0.949274
